disease,positive_cases,prevalence,auroc,average_precision,brier_score,ece_15_bins,sensitivity_at_0_5,precision_at_0_5
Atelectasis,3279,0.12810595405532113,0.7475681952975592,0.30878899883562616,0.23780539522903935,0.341494519353742,0.777676120768527,0.2133355642934828
Cardiomegaly,1069,0.04176433817784029,0.8751388429993513,0.31543617820298064,0.13009222115285768,0.23265395536587974,0.7577174929840973,0.15988945913936045
Consolidation,1815,0.07090951711204876,0.730438205466016,0.14680034429770894,0.33481428640368066,0.4809491985223827,0.9079889807162534,0.10257687040956057
Edema,925,0.03613845913423973,0.8331909113117821,0.1479071106108396,0.24229275681681833,0.3566658901565032,0.8821621621621621,0.08452454940957116
Effusion,4658,0.18198155961869042,0.8089088013063247,0.4740185260857416,0.24515089846048704,0.3206663177227728,0.8827823100042936,0.3052709725315516
Emphysema,1093,0.042701984685107046,0.894548827394924,0.3680946452369245,0.1369521189917676,0.23177703427231477,0.818847209515096,0.17018444571211258
Fibrosis,435,0.016994842944210033,0.8068922575396058,0.07923312289274898,0.13364168022254014,0.26012261868353365,0.6505747126436782,0.055111976630963976
Hernia,86,0.0033598999843725583,0.928468999845022,0.35662019950740836,0.00814784862657313,0.03755868795009251,0.46511627906976744,0.24096385542168675
Infiltration,6112,0.23878731051726831,0.6985770510049326,0.39344003530548244,0.27670425186861186,0.32844443491756553,0.8131544502617801,0.3161175422974176
Mass,1748,0.06829192061259572,0.7696224999942427,0.24950697534473493,0.20706134330654324,0.3441087385395911,0.7019450800915332,0.14404789856773892
Nodule,1623,0.06340834505391467,0.7149333563002267,0.17152310106198781,0.23514364984219227,0.3960958855754371,0.6759088108441158,0.10901321673457219
Pleural_Thickening,1143,0.044655414908579466,0.7602760830416584,0.12931840086024826,0.22230406849700296,0.37195273740998647,0.7279090113735783,0.08857659959544341
Pneumonia,555,0.021683075480543833,0.7034161272809889,0.050811372954137735,0.2441137016576456,0.4168107180899394,0.6972972972972973,0.038154392191659274
Pneumothorax,2665,0.10411783091107986,0.8582130026591724,0.39856096260675117,0.19784914953673408,0.3048485131545106,0.8577861163227017,0.25499163413273845
